Fuel,Year,Emissions (CO2/unit_fuel),Cost ($/unit_fuel)
B20,2023,,
B20,2024,,
B20,2025,,
B20,2026,,
B20,2027,,
B20,2028,,
B20,2029,,
B20,2030,,
B20,2031,,
B20,2032,,
B20,2033,,
B20,2034,,
B20,2035,,
B20,2036,,
B20,2037,,
B20,2038,,
BioLNG,2023,,
BioLNG,2024,,
BioLNG,2025,,
BioLNG,2026,,
BioLNG,2027,,
BioLNG,2028,,
BioLNG,2029,,
BioLNG,2030,,
BioLNG,2031,,
BioLNG,2032,,
BioLNG,2033,,
BioLNG,2034,,
BioLNG,2035,,
BioLNG,2036,,
BioLNG,2037,,
BioLNG,2038,,
Electricity,2023,,
Electricity,2024,,
Electricity,2025,,
Electricity,2026,,
Electricity,2027,,
Electricity,2028,,
Electricity,2029,,
Electricity,2030,,
Electricity,2031,,
Electricity,2032,,
Electricity,2033,,
Electricity,2034,,
Electricity,2035,,
Electricity,2036,,
Electricity,2037,,
Electricity,2038,,
HVO,2023,,
HVO,2024,,
HVO,2025,,
HVO,2026,,
HVO,2027,,
HVO,2028,,
HVO,2029,,
HVO,2030,,
HVO,2031,,
HVO,2032,,
HVO,2033,,
HVO,2034,,
HVO,2035,,
HVO,2036,,
HVO,2037,,
HVO,2038,,
LNG,2023,,
LNG,2024,,
LNG,2025,,
LNG,2026,,
LNG,2027,,
LNG,2028,,
LNG,2029,,
LNG,2030,,
LNG,2031,,
LNG,2032,,
LNG,2033,,
LNG,2034,,
LNG,2035,,
LNG,2036,,
LNG,2037,,
LNG,2038,,
